,DATE,PRCP,TAVG,QHSJ,count
0,1951-10-01,0.0,19.6,,
1,1951-10-02,0.0,21.5,,
2,1951-10-03,0.0,21.0,,
3,1951-10-04,0.0,21.3,,
4,1951-10-05,0.0,20.7,,
5,1951-10-06,27.8,17.3,,
6,1951-10-07,7.6,18.3,,
7,1951-10-08,0.8,20.1,,
8,1951-10-09,0.0,21.2,,
9,1951-10-10,0.0,20.9,,
10,1951-10-11,0.0,20.3,,
11,1951-10-12,0.0,20.4,,
12,1951-10-13,0.0,20.2,,
13,1951-10-14,0.0,19.8,,
14,1951-10-15,0.0,20.1,,
15,1951-10-16,0.0,21.6,,
16,1951-10-17,0.0,21.9,,
17,1951-10-18,0.0,21.8,,
18,1951-10-19,0.0,23.8,,
19,1951-10-20,0.1,17.4,,
20,1951-10-21,2.4,14.4,,
21,1951-10-22,6.7,12.3,,
22,1951-10-23,2.2,12.5,,
23,1951-10-24,0.0,13.5,,
24,1951-10-25,0.0,14.4,,
25,1951-10-26,0.0,14.0,,
26,1951-10-27,0.0,13.3,,
27,1951-10-28,0.0,14.8,,
28,1951-10-29,0.0,16.0,,
29,1951-10-30,0.0,16.4,,
30,1951-10-31,0.0,17.3,,
31,1951-11-01,0.0,13.4,,
32,1951-11-02,0.0,10.9,,
33,1951-11-03,0.0,13.5,,
34,1951-11-04,0.0,15.8,,
35,1951-11-05,0.0,17.2,,
36,1951-11-06,5.2,11.4,,
37,1951-11-07,6.1,8.9,,
38,1951-11-08,0.0,9.2,,
39,1951-11-09,0.0,10.0,,
40,1951-11-10,0.1,11.9,,
41,1951-11-11,0.1,14.1,,
42,1951-11-12,0.0,14.9,,
43,1951-11-13,0.0,16.9,,
44,1951-11-14,4.9,17.8,,
45,1951-11-15,0.6,13.4,,
46,1951-11-16,0.0,10.8,,
47,1951-11-17,0.0,11.7,,
48,1951-11-18,0.0,11.1,,
49,1951-11-19,0.0,11.2,,
50,1951-11-20,0.0,12.8,,
51,1951-11-21,0.0,14.6,,
52,1951-11-22,19.5,3.6,,
53,1951-11-23,7.3,-0.5,,
54,1951-11-24,0.0,1.8,,
55,1951-11-25,0.0,4.4,,
56,1951-11-26,0.0,2.5,,
57,1951-11-27,0.0,5.1,,
58,1951-11-28,0.0,7.0,,
59,1951-11-29,0.7,7.4,,
60,1951-11-30,11.0,5.9,,
61,1951-12-01,0.2,7.2,,
62,1951-12-02,0.0,8.8,,
63,1951-12-03,0.6,10.1,,
64,1951-12-04,0.5,6.6,,
65,1951-12-05,0.0,4.3,,
66,1951-12-06,0.0,4.0,,
67,1951-12-07,0.0,4.6,,
68,1951-12-08,0.0,3.5,,
69,1951-12-09,0.0,7.0,,
70,1951-12-10,0.0,9.4,,
71,1951-12-11,0.0,9.0,,
72,1951-12-12,0.0,9.0,,
73,1951-12-13,0.0,7.7,,
74,1951-12-14,0.0,2.6,,
75,1951-12-15,0.0,1.4,,
76,1951-12-16,0.0,3.8,,
77,1951-12-17,0.0,6.7,,
78,1951-12-18,0.0,10.4,,
79,1951-12-19,0.0,10.9,,
80,1951-12-20,0.0,12.3,,
81,1951-12-21,0.2,12.5,,
82,1951-12-22,0.0,11.8,,
83,1951-12-23,0.4,8.7,,
84,1951-12-24,0.0,10.9,,
85,1951-12-25,2.0,9.9,,
86,1951-12-26,0.2,5.0,,
87,1951-12-27,0.0,3.8,,
88,1951-12-28,0.2,5.7,,
89,1951-12-29,23.8,3.7,,
90,1951-12-30,25.7,5.9,,
91,1951-12-31,2.0,2.8,,
92,1952-01-01,0.0,3.8,,
93,1952-01-02,1.3,4.5,,
94,1952-01-03,0.0,2.2,,
95,1952-01-04,0.4,1.8,,
96,1952-01-05,0.1,2.4,,
97,1952-01-06,0.0,1.6,,
98,1952-01-07,0.0,0.2,,
99,1952-01-08,0.0,0.8,,
100,1952-01-09,0.0,4.4,,
101,1952-01-10,0.0,4.8,,
102,1952-01-11,0.0,3.1,,
103,1952-01-12,0.0,3.2,,
104,1952-01-13,6.9,2.8,,
105,1952-01-14,0.1,3.8,,
106,1952-01-15,0.0,1.9,,
107,1952-01-16,0.0,4.0,,
108,1952-01-17,0.0,5.4,,
109,1952-01-18,0.0,2.0,,
110,1952-01-19,0.0,4.4,,
111,1952-01-20,0.0,8.1,,
112,1952-01-21,0.0,8.5,,
113,1952-01-22,0.0,6.9,,
114,1952-01-23,0.0,5.6,,
115,1952-01-24,0.6,4.3,,
116,1952-01-25,0.0,-0.7,,
117,1952-01-26,0.0,3.3,,
118,1952-01-27,0.0,6.4,,
119,1952-01-28,0.4,8.2,,
120,1952-01-29,1.0,6.9,,
121,1952-01-30,3.6,2.7,,
122,1952-01-31,2.3,2.7,,
123,1952-02-01,0.1,4.5,,
124,1952-02-02,1.5,0.8,,
125,1952-02-03,0.0,-0.3,,
126,1952-02-04,0.0,1.2,,
127,1952-02-05,0.0,1.3,,
128,1952-02-06,7.4,3.8,,
129,1952-02-07,0.6,4.0,,
130,1952-02-08,0.1,4.9,,
131,1952-02-09,0.0,6.4,,
132,1952-02-10,0.0,8.2,,
133,1952-02-11,0.0,7.9,,
134,1952-02-12,1.4,7.8,,
135,1952-02-13,17.0,5.9,,
136,1952-02-14,11.9,4.4,,
137,1952-02-15,12.5,0.3,,
138,1952-02-16,3.0,-3.6,,
139,1952-02-17,1.5,-4.1,,
140,1952-02-18,0.0,-4.3,,
141,1952-02-19,0.0,-3.2,,
142,1952-02-20,0.0,-1.1,,
143,1952-02-21,0.0,2.2,,
144,1952-02-22,0.0,1.7,,
145,1952-02-23,0.0,0.5,,
146,1952-02-24,7.6,2.2,,
147,1952-02-25,29.7,2.0,,
148,1952-02-26,0.0,1.9,,
149,1952-02-27,5.0,0.8,,
150,1952-02-28,7.6,0.5,,
151,1952-02-29,0.0,1.7,,
152,1952-03-01,0.0,3.5,,
153,1952-03-02,0.0,5.1,,
154,1952-03-03,0.0,4.3,,
155,1952-03-04,42.1,1.0,,
156,1952-03-05,1.3,1.0,,
157,1952-03-06,1.7,2.9,,
158,1952-03-07,14.5,3.6,,
159,1952-03-08,0.0,4.4,,
160,1952-03-09,8.5,3.6,,
161,1952-03-10,0.0,2.7,,
162,1952-03-11,0.0,3.2,,
163,1952-03-12,1.2,3.4,,
164,1952-03-13,0.2,6.3,,
165,1952-03-14,0.0,8.7,,
166,1952-03-15,0.0,11.2,,
167,1952-03-16,0.4,8.2,,
168,1952-03-17,0.0,9.0,,
169,1952-03-18,19.6,8.7,,
170,1952-03-19,0.1,4.3,,
171,1952-03-20,0.0,5.9,,
172,1952-03-21,0.0,8.9,,
173,1952-03-22,0.0,10.7,,
174,1952-03-23,0.0,9.8,,
175,1952-03-24,0.0,7.1,,
176,1952-03-25,0.0,6.5,,
177,1952-03-26,3.4,6.8,,
178,1952-03-27,0.0,8.4,,
179,1952-03-28,0.0,10.0,,
180,1952-03-29,0.0,11.4,,
181,1952-03-30,40.3,7.8,,
182,1952-03-31,0.2,10.2,,
183,1952-04-01,0.0,11.3,,
184,1952-04-02,0.0,10.3,,
185,1952-04-03,0.0,13.4,,
186,1952-04-04,0.6,17.4,,
187,1952-04-05,0.0,18.3,,
188,1952-04-06,18.1,16.3,,
189,1952-04-07,0.0,14.4,,
190,1952-04-08,0.0,14.7,,
191,1952-04-09,0.0,16.0,,
192,1952-04-10,0.0,15.3,,
193,1952-04-11,21.6,14.0,,
194,1952-04-12,0.4,11.7,,
195,1952-04-13,0.0,11.4,,
196,1952-04-14,0.0,12.6,,
197,1952-04-15,0.0,13.6,,
198,1952-04-16,0.0,18.6,,
199,1952-04-17,0.0,17.1,,
200,1952-04-18,0.0,14.1,,
201,1952-04-19,0.0,17.8,,
202,1952-04-20,9.2,14.1,,
203,1952-04-21,0.0,15.8,,
204,1952-04-22,1.8,13.1,,
205,1952-04-23,9.7,8.5,,
206,1952-04-24,8.9,10.1,,
207,1952-04-25,0.1,12.8,,
208,1952-04-26,0.0,16.9,,
209,1952-04-27,0.0,20.5,,
210,1952-04-28,4.0,18.7,,
211,1952-04-29,0.1,17.8,,
212,1952-04-30,0.0,18.5,,
213,1952-05-01,4.8,17.5,,
214,1952-05-02,2.4,21.2,,
